Serial No,Status,location_id,Declaration Serial No,,,
SFBN2446A520 ,In store,12,CI-20768,,,
SFBN2446A522 ,In store,12,CI-20768,,,
SFBN2447A163 ,In store,12,CI-20768,,,
SFBN2446A120 ,In store,12,CI-20768,,,
SFBN2446A802 ,In store,12,CI-20768,,,
SFBN2447A135 ,In store,12,CI-20768,,,
SFBN2446A930 ,In store,12,CI-20768,,,
SFBN2445A842 ,In store,12,CI-20768,,,
SFBN2447A197 ,In store,12,CI-20768,,,
SFBN2446A794 ,In store,12,CI-20768,,,
SFBN2446A823 ,In store,12,CI-20768,,,
SFBN2446A838 ,In store,12,CI-20768,,,
SFBN2446A622 ,In store,12,CI-20768,,,
SFBN2446A028 ,In store,12,CI-20768,,,
SFBN2446A787 ,In store,12,CI-20768,,,
SFBN2446A770 ,In store,12,CI-20768,,,
SFBN2445A793 ,In store,12,CI-20768,,,
SFBN2445A878 ,In store,12,CI-20768,,,
SFBN2446A918 ,In store,12,CI-20768,,,
SFBN2447A142 ,In store,12,CI-20768,,,
SFBN2447A153 ,In store,12,CI-20768,,,
SFBN2446A825 ,In store,12,CI-20768,,,
SFBN2445A802 ,In store,12,CI-20768,,,
SFBN2447A133 ,In store,12,CI-20768,,,
SFBN2445A602 ,In store,12,CI-20768,,,
SFBN2445A703 ,In store,12,CI-20768,,,
SFBN2446A486 ,In store,12,CI-20768,,,
SFBN2447A153 ,In store,12,CI-20768,,,
SFBN2445A822 ,In store,12,CI-20768,,,
SFBN2447AD28 ,In store,12,CI-20768,,,
SFBN2445A826,In store,12,CI-20768,,,
SFBN2446A926,At a Facility,27,CI-20768,,,
SFBN2446A026,At a Facility,27,CI-20768,,,
SFBN2446A032,At a Facility,27,CI-20768,,,
SFBN2446A023,At a Facility,27,CI-20768,,,
SFBN2446A472,At a Facility,27,CI-20768,,,
SFBN2446A630,At a Facility,27,CI-20768,,,
SFBN2446A047,At a Facility,27,CI-20768,,,
SFBN2446A471,At a Facility,27,CI-20768,,,
SFBN2446A901,At a Facility,27,CI-20768,,,
SFBN2446A034,At a Facility,27,CI-20768,,,
SFBN2446A485,At a Facility,27,CI-20768,,,
SFBN2445A931,At a Facility,27,CI-20768,,,
SFBN2446A128,At a Facility,27,CI-20768,,,
SFBN2446A033,At a Facility,27,CI-20768,,,
SFBN2446A046,At a Facility,27,CI-20768,,,
SFBN2446A044,At a Facility,27,CI-20768,,,
INL24165107,In store,12,CI-20768,,,
INL24155432,In store,12,CI-20768,,,
INL24165394,In store,12,CI-20768,,,
INL24165041,In store,12,CI-20768,,,
INL24165617,In store,12,CI-20768,,,
INL24165549,In store,12,CI-20768,,,
INL24165415,In store,12,CI-20768,,,
INL24165266,In store,12,CI-20768,,,
INL24165100,In store,12,CI-20768,,,
INL24155464,In store,12,CI-20768,,,
INL24165165,In store,12,CI-20768,,,
INL24165192,In store,12,CI-20768,,,
INL24165676,In store,12,CI-20768,,,
INL24165639,In store,12,CI-20768,,,
INL24165117,In store,12,CI-20768,,,
INL24165172,In store,12,CI-20768,,,
INL24165040,In store,12,CI-20768,,,
INL24165440,In store,12,CI-20768,,,
INL24165380,In store,12,CI-20768,,,
INL24165264,In store,12,CI-20768,,,
INL24165108,In store,12,CI-20768,,,
INL24165654,In store,12,CI-20768,,,
INL24165247,In store,12,CI-20768,,,
INL24155548,In store,12,CI-20768,,,
INL24165672,In store,12,CI-20768,,,
INL24164945,In store,12,CI-20768,,,
INL24165655,In store,12,CI-20768,,,
INL24165760,In store,12,CI-20768,,,
INL24165334,In store,12,CI-20768,,,
INL24165664,In store,12,CI-20768,,,
INL24155445,In store,12,CI-20768,,,
INL24165324,In store,12,CI-20768,,,
INL24165665,In store,12,CI-20768,,,
INL24165443,In store,12,CI-20768,,,
INL24165241,In store,12,CI-20768,,,
INL24164951,In store,12,CI-20768,,,
INL24165771,In store,12,CI-20768,,,
INL24165653,In store,12,CI-20768,,,
INL24165106,In store,12,CI-20768,,,
INL24164903,In store,12,CI-20768,,,
INL24165113,In store,12,CI-20768,,,
INL24155446,In store,12,CI-20768,,,
INL24155456,In store,12,CI-20768,,,
INL24165645,In store,12,CI-20768,,,
INL24183208,In store,12,CI-20768,,,
INL24165159,In store,12,CI-20768,,,
INL24165431,In store,12,CI-20768,,,
INL24165377,In store,12,CI-20768,,,
INL24165662,In store,12,CI-20768,,,
INL24165429,In store,12,CI-20768,,,
INL24165105,In store,12,CI-20768,,,
INL24165169,In store,12,CI-20768,,,
INL24183201,In store,12,CI-20768,,,
INL24165666,In store,12,CI-20768,,,
INL24155509,In store,12,CI-20768,,,
INL24165042,In store,12,CI-20768,,,
INL24164947,In store,12,CI-20768,,,
INL24183199,In store,12,CI-20768,,,
INL24165118,In store,12,CI-20768,,,
INL24165384,In store,12,CI-20768,,,
ACA2525002D,At a Facility,27,CI-20768,,,
ACA25250039,At a Facility,27,CI-20768,,,
