Flier-001,SC-APC-FOFC,NCS2006-DR,NCS2006-FTA,"8200-1RU-KIT=,NCS2K-TNCS-2-K9=","NCS2006-SA,NCS2006-DC40",NCS2006-SA,NCS2006-SA,,LAB,813m-3,ISR4331,
Flier-001,SC-UPC-UPC#13224,NCS2006-DR,"C921-4PLTEGB,FAN-1RU-PI","NCS2K-TNCS-2-K9=,CAB-CONSOLE-RJ45=","15454-BLANK,NCS2006-DC40",MA5800-X7,UTP CAT6,G657A1,LAB,ISR4331,ISR4331,
Flier-001,M401-26A,NCS2006-DR,"QSFP-100G-FR-S,100GQSFP-LR4-4=,15216-ATT-LC-10, 5216-ATT-LC-3,15216-ATT-LC-2,15216-ATT-LC-7, 15454-M-USBCBL,QDD-400G-DR4-S=",WS318N,"15454-BLANK,NCS2006-DC40",ZTE AC/DC converter,UTP CAT6,,LAB,Fiber Optic patch panel 48 port,"NCT-4.8x200,cable",Cli18
Fly11,,"15454-OPT-EDFA-17=,NCS2006-LCD","CBS250-24T-4T-4G-EU,SFOC2540Y50J",WS318N,8201=,SmartAX MA5800-X2,"SPL-BOX ,FS35858, PDU G-Link 13A",SAE 15W-40,LAB,Fiber Optic patch panel 48 port,"Nylon Cable Tie 4.8x300mm,NCT-4.8x350",8mm-Clip
Fly11,,15454-M-ALMCBL2,"S5720-52X-LI-AC, FS29669",,"NCS-5501","MA5608T,SmartAX MA5800-X2","3X2.5 mm^2,3X4 mm^2",SAE 15W-40,LAB,Fiber Optic patch panel 48 port,,8mm-Clip
