WS5200,TT919G,"LBE-5AC-Gen2,NS-5ACL-US","NCT-2.5x100,180005X25-BLK","UAP AC Lite,UAP Nano HD","ERPro-8,ER-8-XG,ERPro-8",,Unifi voip phone,GAC2500,SPL-BOX,"realme Dock,16RM/512GB,8RM/512GB,Realm Book core i3,realme book,JXMOX-J-008,HDMI-6F","chrome,dell-core i5-13,Vostro-14-3000,DESKTOP-GQF71L0,Vostro 15 3500,Vostro 14 3000","C270-HD-WEBCAM,FS12493,PT-210,UF-WiFi,HUAWEI E3372,Headphone","PD0602900",G-010G-P,"12345,vac water"
WS5200,TT919G,WS-IPTV-STB,2M-UTP-RJ45,"UniFi AC Mesh AP,UAP AC SHD,UAP AC HD,UAP-AC-M-PRO","UF-OLT,UF-OLT-4","DES-1008A,RT-AC56R, GXW4104,Scorio1400","PSU2KW-DCPI,",FS48491.GAC2500,1x8 SC/UPC,FS40254,"FS40233, 51921","BDLKMINIREC4K,GP50","96888,FS29032,889876",G-010G-P,"Paper-masking-tape,plaster,BOPP TAPE"
WS5200,TT919G,WS-IPTV-STB,"WS-FPC-100m-UPC-UPC,WS-FPC-80m-UPC-APC","PrismAP-5-60,PS-5AC-US","ES-24-250W,ES-48-LITE","FS11775,FS39138,FS48929,FS11555,FS39138,FS39135,UF-GP-C+,10GBASE-ER-SFP+,UF-GP-B+,560SFP +,QSFP28-ER4-100G,FS48354,CW 47-10G-80(1470),CW 47-10G-80(1490),QSFP-40GE-LR4, FS64685","PIN242510200,phoenix 12|250,MPPT 75/15,GSM-860,Steca Solsum 2525,Steca Solsum 4040,Steca Solsum 3030","FS12492,11524,FS48491",1x8-STFO-S-B-SC-APC,SC/APC G657A1,"G657A1 LSZH,","1x2 SC/UPC,1x8 SC/UPC","finder tools,8 inch finder,tool set, 6465876",G-010G-P,63737
WS5200,TT919G,WS-IPTV-STB,"WS-FPC-50m-UPC-UPC,WS-FPC-60M-UPC-APC,WS-FPC-70M-UPC-APC","PrismAP-5-30,PrismAP-5-60","ES-12F,Edge Router 4",APKR-PP(Cat.6 UTP),"SWING pro 350VA,meksbox,SM-SP-40,CM01A,Led panel,",SC-UPC#76112,"FS11524,FS11521,32150","LSZH G652D, SC/APC G657A1","OM450-125,FS40405,FS107948","15454-LC-LC-2=-C,40445","MNP39386,FS14341,A-60C",UF-NANO,EP-TA20EWE
WS318N,TT919G,"ACB-AC US,ACB-AC US,ER-X",WS-FPC-30m-UPC-UPC,N-SW,EP-R6,"FHD-FOSMF-24F,FS75602,FS73403,","ETH-SP-G2,surge arresters,67700,",SC-APC to SC-APC#76106,FS40494,"LSZH G652D-2M,LSZH G652D","68024,41162,FS41663,FS42472,68060","LC/UPC-LC/UPC-3m,LC/UPC-LC/UPC-2M","OPM,378832,AI-9-Splicer,Fiber cleaning kit,66019",UF-LOCO,FS14894
"TL-WR940N,TL-MR3420",TT919G,"HG8245H,HG8546MGM1,EchoLife HG8546M,ZXHN F660, HG8245H5",WS-FPC-30m-UPC-UPC,EP-54V-150W,"S5860-20SQ,TBS2951",GKF-2134,"9,990,999,800,999",aruba ap-505,FS40494,"FS40494,FS42673",FS40214,"FS40432,82455,FS40432","FS11857,FS34630,FS13663,13664,SC/ST/FC 2.5mm, 11430","POE-48-24W-G 48V,POE-24-7W-GWH","SC-UPC-UPC#13224,Clip-10mm"
